Scene,IoU,Accuracy,Precision,Recall,F1-score,TN,FP,FN,TP
LT05_L2SP_133049_20070331_20200830_02_T1,0.4705,0.9781,0.758,0.5537,0.6399,32795772,212380,536301,665339
LT05_L2SP_138045_20080116_20200829_02_T1,0.9343,0.9911,0.9676,0.9645,0.966,29743769,146020,160231,4356380
